abbr,name_cs
And,Andromeda
Ant,Vývěva
Aps,Rajka
Aql,Orel
Aqr,Vodnář
Ara,Oltář
Ari,Beran
Aur,Vozka
Boo,Pastýř
CMa,Velký pes
CMi,Malý pes
CVn,Honicí psi
Cae,Rydlo
Cam,Žirafa
Cap,Kozoroh
Car,Lodní kýl
Cas,Kasiopeja
Cen,Kentaur
Cep,Cefeus
Cet,Velryba
Cha,Chameleon
Cir,Kružítko
Cnc,Rak
Col,Holubice
Com,Vlasy Bereniky
CrA,Jižní koruna
CrB,Severní koruna
Crt,Pohár
Cru,Jižní kříž
Crv,Havran
Cyg,Labuť
Del,Delfín
Dor,Mečoun
Dra,Drak
Equ,Koníček
Eri,Eridanus
For,Pec
Gem,Blíženci
Gru,Jeřáb
Her,Herkules
Hor,Hodiny
Hya,Hydra
Hyi,Malý vodní had
Ind,Indián
LMi,Malý lev
Lac,Ještěrka
Leo,Lev
Lep,Zajíc
Lib,Váhy
Lup,Vlk
Lyn,Rys
Lyr,Lyra
Men,Tabulová hora
Mic,Mikroskop
Mon,Jednorožec
Mus,Moucha
Nor,Pravítko
Oct,Oktant
Oph,Hadonoš
Ori,Orion
Pav,Páv
Peg,Pegas
Per,Perseus
Phe,Fénix
Pic,Malíř
PsA,Jižní ryba
Psc,Ryby
Pup,Lodní záď
Pyx,Kompas
Ret,Síť
Scl,Sochař
Sco,Štír
Sct,Štít
Ser,Had
Sex,Sextant
Sge,Šíp
Sgr,Střelec
Tau,Býk
Tel,Dalekohled
TrA,Jižní trojúhelník
Tri,Trojúhelník
Tuc,Tukan
UMa,Velká medvědice
UMi,Malý medvěd
Vel,Plachty
Vir,Panna
Vol,Létající ryba
Vul,Lištička
